Bter_protein_ID,Apis_gene_symbol,Apis_locus,Amel_v4_5,Apis_gene_ID,Apis_gene_description,BEEBASE,OGS_v1_1,Bter_gene_ID,Bter_gene_description,Bter_gene_symbol
XP_012163854.1,LOC411892,LOC411892,XP_016767800.1,411892,PREDICTED: V-type proton ATPase subunit C isoform X2,GB46732,GB11380,XM_012308464.1,V-type proton ATPase subunit C,LOC100644844
XP_012163855.1,LOC726653,LOC726653,XP_001122374.2,726653,PREDICTED: mitochondrial import inner membrane translocase subunit TIM14 isoform X2,GB46734,GB12863,XM_012308465.1,mitochondrial import inner membrane translocase subunit TIM14,LOC100645320
XP_012163856.1,LOC552221,LOC552221,XP_006570819.1,552221,PREDICTED: F-BAR domain only protein 2 isoform X6,GB47466,GB10799,XM_012308466.1,F-BAR domain only protein 2 isoform X1,LOC100649794
XP_012163857.1,LOC552764,LOC552764,XP_625143.2,552764,PREDICTED: eukaryotic translation initiation factor 2A,GB46735,GB14439,XM_012308467.1,eukaryotic translation initiation factor 2A,LOC100645751
XP_012163859.1,LOC411981,LOC411981,XP_395447.4,411981,PREDICTED: probable ubiquitin carboxyl-terminal hydrolase FAF-X isoform X1,GB46736,GB10029,XM_012308469.1,probable ubiquitin carboxyl-terminal hydrolase FAF-X isoform X1,LOC100645871
XP_012163860.1,LOC411981,LOC411981,XP_006562149.1,411981,PREDICTED: probable ubiquitin carboxyl-terminal hydrolase FAF-X isoform X2,GB46736,GB10029,XM_012308470.1,probable ubiquitin carboxyl-terminal hydrolase FAF-X isoform X2,LOC100645871
XP_012163861.1,LOC552221,LOC552221,XP_006570821.1,552221,PREDICTED: F-BAR domain only protein 2 isoform X8,GB47466,GB10799,XM_012308471.1,F-BAR domain only protein 2 isoform X2,LOC100649794
XP_012163864.1,LOC409882,LOC409882,XP_016767661.1,409882,PREDICTED: TLD domain-containing protein 2 isoform X1,GB46739,GB10124,XM_012308474.1,oxidation resistance protein 1 isoform X4,LOC100646293
XP_012163866.1,LOC102655139,LOC102655139,XP_006564219.1,102655139,PREDICTED: uncharacterized protein LOC102655139,NA,NA,XM_012308476.1,uncharacterized protein LOC105665723,LOC105665723
XP_012163867.1,LOC408831,LOC408831,XP_006564220.1,408831,"PREDICTED: ribosome-releasing factor 2, mitochondrial",GB42043,GB16479,XM_012308477.1,"ribosome-releasing factor 2, mitochondrial",LOC100645001
XP_012163869.1,LOC724169,LOC724169,XP_006564217.1,724169,PREDICTED: transcription factor kayak isoform X2,NA,GB30215,XM_012308479.1,transcription factor kayak isoform X2,LOC105665724
XP_012163871.1,LOC552221,LOC552221,XP_016766814.1,552221,PREDICTED: F-BAR domain only protein 2 isoform X12,GB47466,GB10799,XM_012308481.1,F-BAR domain only protein 2 isoform X4,LOC100649794
XP_012163873.1,LOC411083,LOC411083,XP_006564222.1,411083,PREDICTED: sodium/potassium-transporting ATPase subunit alpha isoform X2,GB42054,GB20055,XM_012308483.1,sodium/potassium-transporting ATPase subunit alpha isoform X1,LOC100647333
XP_012163874.1,LOC411083,LOC411083,XP_006564223.1,411083,PREDICTED: sodium/potassium-transporting ATPase subunit alpha isoform X1,GB42054,GB20055,XM_012308484.1,sodium/potassium-transporting ATPase subunit alpha isoform X2,LOC100647333
XP_012163881.1,LOC102655904,LOC102655904,XP_006564233.1,102655904,"PREDICTED: DNA-directed RNA polymerases I, II, and III subunit RPABC3 isoform X1",NA,GB10191,XM_012308491.1,"DNA-directed RNA polymerases I, II, and III subunit RPABC3 isoform X1",LOC105665726
XP_012163887.1,LOC413690,LOC413690,XP_397131.4,413690,PREDICTED: helicase SKI2W,GB42058,GB14198,XM_012308497.1,helicase SKI2W,LOC100648016
XP_012163888.1,LOC724563,LOC724563,XP_001120452.2,724563,PREDICTED: uncharacterized protein LOC724563,GB42062,GB10002,XM_012308498.1,thyroglobulin,LOC100648245
XP_012163891.1,LOC413171,LOC413171,XP_006564250.1,413171,PREDICTED: myosin-I heavy chain isoform X1,GB42035,GB19204,XM_012308501.1,myosin-I heavy chain-like isoform X1,LOC100648672
XP_012163897.1,LOC413169,LOC413169,XP_396620.4,413169,PREDICTED: presenilin-1,GB42032,GB15051,XM_012308507.1,presenilin-1 isoform X1,LOC100648974
XP_012163898.1,LOC551830,LOC551830,XP_016767701.1,551830,PREDICTED: ral GTPase-activating protein subunit alpha-1,GB42031,GB16231,XM_012308508.1,ral GTPase-activating protein subunit alpha-1 isoform X1,LOC100649088
XP_012163912.1,LOC409334,LOC409334,XP_016767562.1,409334,PREDICTED: beta-mannosidase,GB42077,GB20027,XM_012308522.1,beta-mannosidase isoform X1,LOC100649878
XP_012163915.1,LOC725946,LOC725946,XP_006570839.1,725946,PREDICTED: integrin alpha-9 isoform X1,GB47468,GB19393,XM_012308525.1,integrin alpha-8-like isoform X4,LOC100650470
XP_012163917.1,LOC725477,LOC725477,XP_016767868.1,725477,PREDICTED: transmembrane protein 245 isoform X2,GB42023,GB12704,XM_012308527.1,transmembrane protein 245 isoform X2,LOC100651834
XP_012163921.1,LOC725568,LOC725568,XP_001120653.1,725568,PREDICTED: uncharacterized protein LOC725568,GB42078,GB18674,XM_012308531.1,uncharacterized protein LOC100646377,LOC100646377
XP_012163922.1,LOC410109,LOC410109,XP_006564268.1,410109,PREDICTED: ubiquitin carboxyl-terminal hydrolase 34,GB42022,GB13657,XM_012308532.1,ubiquitin carboxyl-terminal hydrolase 34,LOC100649448
XP_012163924.1,LOC409456,LOC409456,XP_006564269.1,409456,PREDICTED: AT-rich interactive domain-containing protein 4B isoform X1,GB42021,GB13780,XM_012308534.1,LOW QUALITY PROTEIN: AT-rich interactive domain-containing protein 4B,LOC105665731
XP_012163927.1,LOC552574,LOC552574,XP_624953.1,552574,PREDICTED: exocyst complex component 5,GB42020,GB19909,XM_012308537.1,exocyst complex component 5 isoform X2,LOC100652158
XP_012163928.1,LOC408830,LOC408830,XP_006562194.1,408830,PREDICTED: muscle M-line assembly protein unc-89 isoform X1,GB46705,GB10576,XM_012308538.1,muscle M-line assembly protein unc-89 isoform X1,LOC100649328
XP_012163930.1,LOC408830,LOC408830,XP_006562198.1,408830,PREDICTED: muscle M-line assembly protein unc-89 isoform X6,GB46705,GB10576,XM_012308540.1,muscle M-line assembly protein unc-89 isoform X4,LOC100649328
XP_012163932.1,LOC411077,LOC411077,XP_394551.1,411077,PREDICTED: NEDD8-conjugating enzyme UBE2F-like,GB46764,GB17675,XM_012308542.1,NEDD8-conjugating enzyme UBE2F-like,LOC100646139
XP_012163933.1,LOC102656199,LOC102656199,XP_016767959.1,102656199,"PREDICTED: uncharacterized protein LOC102656199, partial",NA,GB15138,XM_012308543.1,uncharacterized protein LOC100646500,LOC100646500
XP_012163934.1,LOC412382,LOC412382,XP_395840.2,412382,PREDICTED: excitatory amino acid transporter 3,GB46763,GB16911,XM_012308544.1,LOW QUALITY PROTEIN: excitatory amino acid transporter 1-like,LOC100645369
XP_012163935.1,LOC102656326,LOC102656326,XP_016767648.1,102656326,PREDICTED: stress response protein NST1,NA,GB17933,XM_012308545.1,stress response protein nst1,LOC105665732
XP_012163938.1,LOC725732,LOC725732,XP_016767641.1,725732,PREDICTED: uncharacterized protein LOC725732,GB46700,GB18332,XM_012308548.1,myb-like protein X isoform X3,LOC100650481
XP_012163948.1,LOC408826,LOC408826,XP_016767667.1,408826,PREDICTED: dystroglycan isoform X1,GB46696,GB14967,XM_012308558.1,dystroglycan isoform X1,LOC100645828
XP_012163949.1,LOC408826,LOC408826,XP_016767668.1,408826,PREDICTED: dystroglycan isoform X2,GB46696,GB14967,XM_012308559.1,dystroglycan isoform X2,LOC100645828
XP_012163950.1,LOC409193,LOC409193,XP_006570832.1,409193,PREDICTED: microtubule-associated serine/threonine-protein kinase 3 isoform X2,GB47422,GB18880,XM_012308560.1,microtubule-associated serine/threonine-protein kinase 3 isoform X1,LOC100650267
XP_012163951.1,LOC725147,LOC725147,XP_006564280.1,725147,PREDICTED: 40S ribosomal protein S29 isoform X2,GB42088,NA,XM_012308561.1,40S ribosomal protein S29 isoform X2,LOC100646020
XP_012163953.1,LOC409193,LOC409193,XP_016770675.1,409193,PREDICTED: microtubule-associated serine/threonine-protein kinase 3 isoform X8,GB47422,GB18880,XM_012308563.1,microtubule-associated serine/threonine-protein kinase 3 isoform X2,LOC100650267
XP_012163955.1,LOC100576683,LOC100576683,XP_006567708.1,100576683,PREDICTED: uncharacterized protein LOC100576683,GB44536,GB16095,XM_012308565.1,uncharacterized protein LOC100646059 isoform X1,LOC100646059
XP_012163958.1,LOC100576817,LOC100576817,XP_016767771.1,100576817,PREDICTED: zinc finger and BTB domain-containing protein 41,GB44535,GB19521,XM_012308568.1,LOW QUALITY PROTEIN: zinc finger protein 845,LOC100651001
XP_012163959.1,LOC409576,LOC409576,XP_006567713.1,409576,PREDICTED: spastin isoform X2,GB44534,GB12280,XM_012308569.1,spastin isoform X2,LOC100651717
XP_012163961.1,LOC408851,LOC408851,XP_392381.3,408851,PREDICTED: putative cysteine proteinase CG12163 isoform X2,GB44533,GB13004,XM_012308571.1,LOW QUALITY PROTEIN: putative cysteine proteinase CG12163,LOC100652275
XP_012163962.1,LOC102655148,LOC102655148,XP_006567716.2,102655148,PREDICTED: uncharacterized protein LOC102655148,NA,GB15639,XM_012308572.1,uncharacterized protein LOC105665736,LOC105665736
XP_012163966.1,LOC411114,LOC411114,XP_394588.4,411114,PREDICTED: synaptosomal-associated protein 25 isoform X1,GB44582,GB16958,XM_012308576.1,synaptosomal-associated protein 25 isoform X1,LOC100643971
XP_012163967.1,LOC411114,LOC411114,XP_006567722.1,411114,PREDICTED: synaptosomal-associated protein 25 isoform X5,GB44582,GB16958,XM_012308577.1,synaptosomal-associated protein 25 isoform X3,LOC100643971
XP_012163968.1,LOC411114,LOC411114,XP_006567726.1,411114,PREDICTED: synaptosomal-associated protein 25 isoform X3,GB44582,GB16958,XM_012308578.1,synaptosomal-associated protein 25 isoform X4,LOC100643971
XP_012163969.1,LOC411114,LOC411114,XP_006567720.1,411114,PREDICTED: synaptosomal-associated protein 25 isoform X4,GB44582,GB16958,XM_012308579.1,synaptosomal-associated protein 25 isoform X5,LOC100643971
XP_012163971.1,LOC411114,LOC411114,XP_006567725.1,411114,PREDICTED: synaptosomal-associated protein 25 isoform X6,GB44582,GB16958,XM_012308581.1,synaptosomal-associated protein 25 isoform X6,LOC100643971
XP_012163972.1,LOC408852,LOC408852,XP_016767675.1,408852,PREDICTED: uncharacterized protein LOC408852 isoform X1,GB44532,GB16786,XM_012308582.1,LOW QUALITY PROTEIN: protein similar,LOC100650880
XP_012163973.1,LOC726337,LOC726337,XP_016767678.1,726337,PREDICTED: mitochondrial intermembrane space import and assembly protein 40-B,NA,GB10714,XM_012308583.1,mitochondrial intermembrane space import and assembly protein 40-B,LOC100647334
XP_012163974.1,LOC102655661,LOC102655661,XP_006567733.1,102655661,PREDICTED: protein roadkill-like,NA,GB13761,XM_012308584.1,centrosomal and chromosomal factor-like,LOC105665737
XP_012163975.1,LOC408853,LOC408853,XP_392383.5,408853,PREDICTED: LOW QUALITY PROTEIN: uncharacterized protein LOC408853,GB44585,GB17511,XM_012308585.1,LOW QUALITY PROTEIN: uncharacterized protein LOC100647771,LOC100647771
XP_012163978.1,LOC551919,LOC551919,XP_006567738.1,551919,PREDICTED: paxillin isoform X3,GB44526,GB19612,XM_012308588.1,leupaxin-like isoform X2,LOC100647457
XP_012163979.1,LOC551919,LOC551919,XP_016767681.1,551919,PREDICTED: paxillin isoform X2,GB44526,GB19612,XM_012308589.1,leupaxin-like isoform X3,LOC100647457
XP_012163980.1,LOC551919,LOC551919,XP_006567739.1,551919,PREDICTED: leupaxin isoform X4,GB44526,GB19612,XM_012308590.1,leupaxin-like isoform X4,LOC100647457
XP_012163981.1,LOC551919,LOC551919,XP_016767683.1,551919,PREDICTED: paxillin isoform X5,GB44526,GB19612,XM_012308591.1,paxillin-like isoform X5,LOC100647457
XP_012163985.1,LOC411115,LOC411115,XP_016767713.1,411115,PREDICTED: LOW QUALITY PROTEIN: baculoviral IAP repeat-containing protein 6,GB44588,GB15652,XM_012308595.1,baculoviral IAP repeat-containing protein 6 isoform X1,LOC100648203
XP_012163987.1,LOC726101,LOC726101,XP_006567741.1,726101,PREDICTED: uncharacterized protein LOC726101,GB44590,NA,XM_012308597.1,uncharacterized protein LOC100648318 isoform X3,LOC100648318
XP_012163988.1,LOC412968,LOC412968,XP_006564803.1,412968,PREDICTED: putative epidermal cell surface receptor isoform X2,GB48658,GB11058,XM_012308598.1,putative epidermal cell surface receptor,LOC100648628
XP_012163989.1,LOC412965,LOC412965,XP_396416.3,412965,PREDICTED: synaptotagmin-14 isoform X2,GB48632,GB12996,XM_012308599.1,synaptotagmin-14,LOC100649171
XP_012163990.1,LOC412966,LOC412966,XP_016767570.1,412966,"PREDICTED: LOW QUALITY PROTEIN: pre-mRNA-splicing factor ISY1 homolog, partial",GB48659,GB13635,XM_012308600.1,pre-mRNA-splicing factor ISY1 homolog,LOC100648745
XP_012163993.1,LOC409282,LOC409282,XP_006570844.1,409282,PREDICTED: bromodomain-containing protein DDB_G0280777-like,GB47418,GB12746,XM_012308603.1,uncharacterized protein LOC100651475,LOC100651475
XP_012163994.1,LOC413542,LOC413542,XP_006564809.1,413542,"PREDICTED: polyribonucleotide nucleotidyltransferase 1, mitochondrial",GB48661,GB17887,XM_012308604.1,"LOW QUALITY PROTEIN: polyribonucleotide nucleotidyltransferase 1, mitochondrial",LOC100649056
XP_012163995.1,LOC726255,LOC726255,XP_006564808.1,726255,"PREDICTED: complex I intermediate-associated protein 30, mitochondrial",GB48631,GB10721,XM_012308605.1,"probable complex I intermediate-associated protein 30, mitochondrial",LOC100649497
XP_012163996.1,LOC409818,LOC409818,XP_016767769.1,409818,PREDICTED: sodium/calcium exchanger 1 isoform X1,GB48665,GB17418,XM_012308606.1,sodium/calcium exchanger 1 isoform X1,LOC100650276
XP_012163997.1,LOC409818,LOC409818,XP_016767770.1,409818,PREDICTED: sodium/calcium exchanger 3 isoform X2,GB48665,GB17418,XM_012308607.1,sodium/calcium exchanger 3 isoform X2,LOC100650276
XP_012163998.1,LOC102653596,LOC102653596,XP_006564812.1,102653596,PREDICTED: uncharacterized protein LOC102653596,NA,NA,XM_012308608.1,uncharacterized protein LOC100650639 isoform X1,LOC100650639
XP_012164001.1,LOC410165,LOC410165,XP_006564830.1,410165,PREDICTED: RNA-binding protein Nova-1 isoform X2,GB48628,GB12107,XM_012308611.1,RNA-binding protein Nova-1 isoform X2,LOC100651952
XP_012164002.1,LOC410165,LOC410165,XP_006564832.1,410165,PREDICTED: RNA-binding protein Nova-1 isoform X4,GB48628,GB12107,XM_012308612.1,RNA-binding protein Nova-1 isoform X3,LOC100651952
XP_012164005.1,LOC100578106,LOC100578106,XP_006564825.1,100578106,PREDICTED: uncharacterized protein LOC100578106 isoform X1,NA,GB19332,XM_012308615.1,uncharacterized protein LOC100652191,LOC100652191
XP_012164008.1,LOC414032,LOC414032,XP_397468.4,414032,PREDICTED: tubulin polyglutamylase TTLL5 isoform X1,GB48675,GB18671,XM_012308618.1,tubulin polyglutamylase TTLL5 isoform X1,LOC100651835
XP_012164009.1,LOC414032,LOC414032,XP_006564823.1,414032,PREDICTED: tubulin polyglutamylase TTLL5 isoform X4,GB48675,GB18671,XM_012308619.1,tubulin polyglutamylase TTLL5 isoform X2,LOC100651835
XP_012164013.1,LOC552032,LOC552032,XP_624415.1,552032,PREDICTED: uncharacterized protein C1orf198 homolog,GB47419,GB16150,XM_012308623.1,uncharacterized protein C1orf198 homolog,LOC100651272
XP_012164015.1,LOC100576216,LOC100576216,XP_016767898.1,100576216,PREDICTED: zinc finger protein 1 homolog isoform X2,GB48619,GB10656,XM_012308625.1,zinc finger protein 16-like isoform X5,LOC100642245
XP_012164015.1,LOC100576216,LOC100576216,XP_016767898.1,100576216,PREDICTED: zinc finger protein 1 homolog isoform X2,GB48619,GB17352,XM_012308625.1,zinc finger protein 16-like isoform X5,LOC100642245
XP_012164026.1,LOC551548,LOC551548,XP_016767875.1,551548,PREDICTED: L-asparaginase isoform X1,GB48623,GB14596,XM_012308636.1,L-asparaginase-like,LOC100646534
XP_012164027.1,LOC726107,LOC726107,XP_001121873.2,726107,PREDICTED: uncharacterized protein LOC726107,GB48621,GB15474,XM_012308637.1,transferrin receptor protein 1 isoform X1,LOC100642448
XP_012164030.1,LOC551619,LOC551619,XP_016767839.1,551619,PREDICTED: transmembrane protein 8B,GB48678,GB13196,XM_012308640.1,transmembrane protein 8B,LOC100642957
XP_012164033.1,LOC726115,LOC726115,XP_006570847.2,726115,"PREDICTED: LOW QUALITY PROTEIN: D-2-hydroxyglutarate dehydrogenase, mitochondrial",GB47474,GB16978,XM_012308643.1,"LOW QUALITY PROTEIN: D-2-hydroxyglutarate dehydrogenase, mitochondrial",LOC100651710
XP_012164035.1,LOC727113,LOC727113,XP_006564837.1,727113,PREDICTED: probable ATP-dependent RNA helicase spindle-E isoform X1,GB48625,GB13563,XM_012308645.1,probable ATP-dependent RNA helicase spindle-E,LOC100646901
XP_012164040.1,LOC551578,LOC551578,XP_623973.1,551578,PREDICTED: protein O-mannosyl-transferase 2 isoform X1,GB48677,GB11823,XM_012308650.1,protein O-mannosyl-transferase 2,LOC100643159
XP_012164041.1,LOC724349,LOC724349,XP_016767565.1,724349,PREDICTED: homeobox protein 2-like,NA,GB15279,XM_012308651.1,LOW QUALITY PROTEIN: uncharacterized protein LOC100643762,LOC100643762
XP_012164043.1,LOC724433,LOC724433,XP_001120289.2,724433,PREDICTED: neprilysin-1 isoform X1,GB48685,GB15812,XM_012308653.1,neprilysin-21 isoform X1,LOC100644013
XP_012164044.1,LOC724433,LOC724433,XP_006564858.1,724433,PREDICTED: kell blood group glycoprotein homolog isoform X2,GB48685,GB15812,XM_012308654.1,neprilysin-1 isoform X2,LOC100644013
XP_012164050.1,LOC411095,LOC411095,XP_003250684.1,411095,PREDICTED: zinc transporter 7,GB50304,GB11651,XM_012308660.1,zinc transporter 7,LOC100644128
XP_012164051.1,LOC724369,LOC724369,XP_006565645.2,724369,PREDICTED: 40S ribosomal protein S25,GB50296,GB17668,XM_012308661.1,40S ribosomal protein S25,LOC100647377
XP_012164052.1,LOC408836,LOC408836,XP_392367.3,408836,PREDICTED: unc-112-related protein,GB50303,GB13969,XM_012308662.1,unc-112-related protein-like,LOC100644399
XP_012164053.1,LOC102656105,LOC102656105,XP_006565634.1,102656105,PREDICTED: cysteine-rich DPF motif domain-containing protein 1,NA,NA,XM_012308663.1,cysteine-rich DPF motif domain-containing protein 1,LOC105665742
XP_012164055.1,LOC411090,LOC411090,XP_394564.1,411090,PREDICTED: tubulin--tyrosine ligase-like protein 12,GB50299,GB15630,XM_012308665.1,tubulin--tyrosine ligase-like protein 12,LOC100644757
XP_012164059.1,LOC100576129,LOC100576129,XP_006565632.1,100576129,PREDICTED: uncharacterized protein LOC100576129 isoform X3,GB50301,GB16204,XM_012308669.1,uncharacterized protein LOC100645321 isoform X1,LOC100645321
XP_012164060.1,LOC412117,LOC412117,XP_006570848.1,412117,PREDICTED: mediator of RNA polymerase II transcription subunit 15 isoform X2,GB47417,GB12142,XM_012308670.1,polyhomeotic-like protein 2 isoform X1,LOC100651592
XP_012164061.1,LOC552512,LOC552512,XP_624891.3,552512,PREDICTED: uncharacterized protein LOC552512 isoform X3,GB44709,GB18330,XM_012308671.1,kinesin-related protein 4-like,LOC100645711
XP_012164062.1,LOC411419,LOC411419,XP_006567974.1,411419,PREDICTED: BTB/POZ domain-containing protein KCTD3 isoform X1,GB44410,GB18915,XM_012308672.1,SH3KBP1-binding protein 1 isoform X1,LOC100645829
XP_012164063.1,LOC412117,LOC412117,XP_006570849.1,412117,PREDICTED: putative uncharacterized protein DDB_G0271606 isoform X4,GB47417,GB12142,XM_012308673.1,polyhomeotic-like protein 2 isoform X2,LOC100651592
XP_012164064.1,LOC552449,LOC552449,XP_624826.3,552449,PREDICTED: mediator of RNA polymerase II transcription subunit 6,GB44705,GB16318,XM_012308674.1,mediator of RNA polymerase II transcription subunit 6 isoform X1,LOC100646294
